factor	real_us_rate	real_btw_rate	real_ds_rate	permmean_us_rate	permmean_btw_rate	permmean_ds_rate	l2fc_us_rate	l2fc_btw_rate	l2fc_ds_rate	z_us_rate	z_btw_rate	z_ds_rate	ds_frac	btw_frac	us_frac
ZNF217	0.00255158979424075	0.00204709179930681	0.00250787867360357	0.00225347054925811	0.00195919730980396	0.00193021682911097	0.179247817692163	0.0633131016566587	0.377704634586962	0.544666791600183	0.143536175711125	1.26939882078032	0.0461165048543689	0.0461165048543689	0.058252427184466
FOXP2	0.00446903167071866	0.00281787344628719	0.00490376928388129	0.004212047189984	0.00274696236375667	0.0038960037605295	0.0854406689310224	0.0367696759982653	0.331896033705778	0.422054671252167	0.121379403969592	1.65976351409364	0.16504854368932	0.0898058252427185	0.150485436893204
RPC155	0.00131697156260401	0.00033950773143676	0.000444546290306847	0.000569089661918243	0.000315836212920077	0.000484811983585276	1.21049631695917	0.104267832437424	-0.125091706052126	3.86346612057191	0.121360874110065	-0.238356528468615	0.0145631067961165	0.00485436893203884	0.0461165048543689
SMARCC1	0.00302498510072808	0.0017891690924976	0.00310010751943987	0.00259915752349719	0.00172274569101882	0.00223311141023088	0.218883964693563	0.0545799924999322	0.473263023412754	0.682609964499646	0.105814562155206	1.51390339220717	0.0631067961165049	0.0485436893203884	0.0631067961165049
SP2	0.000914749167979116	0.000285751209385997	0.00091279808306953	0.000737605589816967	0.000273465915431555	0.000612879301483269	0.310526609320033	0.0633985764858398	0.574692779806215	0.996182430801647	0.0841826865183007	1.82678843568037	0.0509708737864078	0.00970873786407767	0.0485436893203884
MEF2C	0.00106418501357535	0.00102422464361869	0.000956803124984673	0.00124035556799839	0.00100257721680568	0.00113525576461895	-0.221004759814617	0.0308188220524088	-0.246723355922247	-0.659991099622958	0.0684184394117828	-0.700062086390247	0.0509708737864078	0.029126213592233	0.0509708737864078
FOSL2	0.00687800294808563	0.00584819375370934	0.008579893265294	0.00656409884981651	0.00579751439013122	0.00650177907207055	0.0673927694493042	0.0125566135021881	0.400125165926379	0.313204837994839	0.0427457673620567	2.07035351225662	0.223300970873786	0.157766990291262	0.157766990291262
GABPA	0.00658553954589228	0.00344829084124613	0.00653454436661895	0.00565406653222592	0.00342383425566854	0.00501826469387599	0.2200127840437	0.0102685976141664	0.380898075619275	1.02498161228925	0.0303488396421348	1.69054623041363	0.179611650485437	0.0946601941747573	0.16504854368932
STAT3	0.00897610403570862	0.00783324835458888	0.00986516746166384	0.008946920994293	0.00780069879483576	0.00877924490289824	0.00469812057560189	0.00600733210116982	0.168246681128873	0.0278354301509325	0.0275460380139251	1.044373872028	0.186893203883495	0.16747572815534	0.182038834951456
ELK4	0.00152980856531908	0.000513944930515623	0.00216210531019604	0.00166174949320488	0.000508978919173962	0.00123274182372091	-0.1193517833057	0.0140078779533977	0.810566110430042	-0.364087211059293	0.0193285485669589	2.7203537662153	0.0631067961165049	0.0169902912621359	0.0509708737864078
ZEB1	0.000873027116197687	0.000357969567292577	0.000745633419199931	0.000754779826746562	0.000356554296800215	0.000660004147494603	0.209970600558361	0.00571515240743499	0.175991432401452	0.594869148075351	0.0074806376377148	0.445394367179419	0.0436893203883495	0.0218446601941748	0.0509708737864078
MTA3	0.00384006492278489	0.00229646233215341	0.00304997174413098	0.00318453606303896	0.00229750039714198	0.00311100471327595	0.2700474926012	-0.000651991025993836	-0.0285847034347812	1.05020938769459	-0.00152842320664574	-0.0901671987690298	0.087378640776699	0.0436893203883495	0.0849514563106796
USF2	0.00306902504427514	0.00220618938477018	0.00359928545621103	0.00313708385998897	0.00220792956648877	0.00300173119037008	-0.0316436768454544	-0.00113750974699024	0.261915738503381	-0.14557959234761	-0.00377002592512813	1.25761641817393	0.131067961165049	0.0995145631067961	0.106796116504854
